"Points:0","Points:1","Points:2","alpha.water"
2,0.29435,0.005,0.25
2,0.29414,0.005,0.25
2,0.29393,0.005,0.25
2,0.29371,0.005,0.25
2,0.29351,0.005,0.25
2,0.29335,0.005,0.25
2,0.29327,0.005,0.25
2,0.29327,0.005,0.25
2,0.29336,0.005,0.25
2,0.29352,0.005,0.25
2,0.29373,0.005,0.25
2,0.29396,0.005,0.25
2,0.29418,0.005,0.25
2,0.29439,0.005,0.25
2,0.29468,0.005,0.25
2,0.29509,0.005,0.25
2,0.29553,0.005,0.25
2,0.29614,0.005,0.25
2,0.29678,0.005,0.25
2,0.29721,0.005,0.25
2,0.29774,0.005,0.25
2,0.29835,0.005,0.25
2,0.2992,0.005,0.25
2,0.2998,0.005,0.25
2,0.30035,0.005,0.25
2,0.30102,0.005,0.25
2,0.30187,0.005,0.25
2,0.30252,0.005,0.25
2,0.30304,0.005,0.25
2,0.30367,0.005,0.25
2,0.30439,0.005,0.25
2,0.30509,0.005,0.25
2,0.30549,0.005,0.25
2,0.30592,0.005,0.25
2,0.30637,0.005,0.25
2,0.30678,0.005,0.25
2,0.3073,0.005,0.25
2,0.30766,0.005,0.25
2,0.30787,0.005,0.25
2,0.30799,0.005,0.25
2,0.30805,0.005,0.25
2,0.30807,0.005,0.25
2,0.30804,0.005,0.25
2,0.30796,0.005,0.25
2,0.30782,0.005,0.25
2,0.30758,0.005,0.25
2,0.30717,0.005,0.25
2,0.30671,0.005,0.25
2,0.30631,0.005,0.25
2,0.30587,0.005,0.25
2,0.30546,0.005,0.25
2,0.30509,0.005,0.25
2,0.30444,0.005,0.25
2,0.30373,0.005,0.25
2,0.30313,0.005,0.25
2,0.30264,0.005,0.25
2,0.30213,0.005,0.25
2,0.30127,0.005,0.25
2,0.30064,0.005,0.25
2,0.30006,0.005,0.25
2,0.29962,0.005,0.25
2,0.29892,0.005,0.25
2,0.29821,0.005,0.25
2,0.29764,0.005,0.25
2,0.29718,0.005,0.25
2,0.29681,0.005,0.25
